common,latin,stefgroup
Acacia,Acacia acradenia,Acacia
Acacia,Acacia aneura,Acacia
Acacia,Acacia coriacea,Acacia
Acacia,Acacia cowleana,Acacia
Acacia,Acacia cuthbertsoni,Acacia
Acacia,Acacia dictyophleba,Acacia
Acacia,Acacia kempeana,Acacia
Acacia,Acacia ligulata,Acacia
Acacia,Acacia pruinocarpa,Acacia
Acacia,Acacia spondylophylla,Acacia
Acacia,Acacia tetragonophylla,Acacia
Desert oak,Allocasuarina decaisneana,Acacia
Eucaluptus,Eucalyptus opaca,Acacia
pig-footed bandicoot,Chaeropus ecaudatus,bandicoot
golden bandicoot,Isodon auratus,bandicoot
desert bandicoot,Perameles eremiana,bandicoot
Burrowing betong,Bettongia lesueur,betong
Greater bilby,Macrotis lagotis,bilby
Pacific black duck,Anas superciliosa,bird
Galah,Calyptorhynchus roseicapilla,bird
Crows,Corvus cecilae,bird
Australian hobby,Falco longipennis,bird
Eurasian coot,Fulica atra,bird
Budgie parakeet,Melopsittacus undulatus,bird
creseted pigeon,Ocyphaps lophotes,bird
Australian pratincole,Stiltia isabella,bird
zebra finch,Taeniopygia guttata,bird
Little buttonquail,Turnix velox,bird
Round leaf caper,Capparis loranthifolia,bush
Wild orange,Capparis umbonata,bush
Dumara bush,Cynanchum floribundum,bush
barrier saltbush,Enchylaena tomentosa,bush
Nitre bush,Nitraria billardierei,bush
Desert quandong,Santalum acuminatum,bush
Northern sandalwood,Santalum lanceolatum,bush
tall sida,Sida calyxhymenia,bush
purple flower bush,Tecticornia verrucosa,bush
Desert heath myrtle,Thryptomene maisonneuve,bush
bustard,Ardeotis australis,bustard
Camel,Camelus dromedarius,camel
crest-tailed mulgara,Dasycercus cristicauda,carnivorous_mammal
carniverous marsupial,Dasycercus hilleri,carnivorous_mammal
carniverous marsupial,Dasyurus hallucatus,carnivorous_mammal
stripe-faced dunnart,Sminthopsis macroura,carnivorous_mammal
Cat,Felis catus,cat
Dingo,Canis lupus dingo,dingo
Wedge-tailed eagle,Aquila audax,eagle
bird shell,Bird egg shell,eggs
reptile eggs,Reptile eggs,eggs
Emu,Dromaius novaehollandiae,emu
Fire,Fire,fire
Purslane,Calandrinia polyandra,forb
Amaranth,Chenopodium curvispicatum,forb
truffle,Chioromyces aboriginum,forb
buttongrass,Dactyloctenium radulans,forb
Australian carrot,Daucus glochidiatus,forb
Flowering saltbush,Leptosema chambersii,forb
fungus,Mycoclelandia bulundarii,forb
common purslane,Portulaca oleracea,forb
pink mulla mulla,Ptilotus exaltatus,forb
green pussytail,Ptilotus macrocephalus,forb
Prince of Wales feather grass,Ptilotus polystachyus,forb
plant,Rhyncharrhena linearis,forb
Camel weed,Scaevola parvifolia,forb
short herb,Tetragonia eremaea,forb
fox,Vulpes vulpes,fox
Varanid,Varanus acanthurus,goanna
Varanid,Varanus giganteus,goanna
Varanid,Varanus gouldii,goanna
Varanid,Varanus panoptes,goanna
Varanid,Varanus tristis,goanna
australian millet,Panicum decompositum,grass
grass,Thyridolepis multiculmis,grass
Lazarides grass,Yakirra australiensis,grass
Australian moth,Endoxyla cinerea,grub
Cossid moth,Endoxyla leucomochla,grub
Honey ant,Camponotus inflatus,honeyant
human,Homo sapiens,human
human fire,human fire,human fire
Spiders,Araneidae,insect
Freshwater rotifers,Bdelloid,insect
Cockroaches and Termites,Blattodea,insect
Freshwater plankton,Brachionus sp.,insect
Rotifer,Cephalodella sp.,insect
centipede,Chilopoda,insect
Plague locust,Chortoicetes terminifera,insect
beetles,Coleoptera,insect
True flies,Diptera,insect
Ants,Formicidae,insect
True bugs,Heteroptera,insect
pond scum,Lemna disperma,insect
